,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand_name
0,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Maruti
1,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5.0,Skoda
2,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5.0,Honda
3,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5.0,Hyundai
4,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5.0,Maruti
5,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5.0,Hyundai
6,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5.0,Maruti
7,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,Maruti
8,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5.0,Toyota
9,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5.0,Ford
10,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,Renault
11,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,Maruti
12,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5.0,Maruti
13,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Maruti
14,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5.0,Mahindra
15,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7.0,Maruti
16,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5.0,Hyundai
17,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
18,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai
19,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5.0,Mahindra
20,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5.0,Honda
21,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
22,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5.0,Maruti
23,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5.0,Tata
24,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti
25,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti
26,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7.0,Chevrolet
27,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5.0,Maruti
28,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8.0,Maruti
29,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
30,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5.0,Maruti
31,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai
32,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
33,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4.0,Maruti
34,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5.0,Maruti
35,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Hyundai
36,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,Datsun
37,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7.0,Tata
38,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4.0,Maruti
39,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5.0,Jeep
40,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5.0,Honda
41,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5.0,Honda
42,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5.0,Maruti
43,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
44,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,Maruti
45,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7.0,Toyota
46,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7.0,Toyota
47,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5.0,Mercedes-Benz
48,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5.0,Honda
49,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7.0,Mitsubishi
50,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5.0,Honda
51,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5.0,Maruti
52,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5.0,Honda
53,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,Toyota
54,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7.0,Toyota
55,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5.0,Audi
56,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,Toyota
57,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5.0,Audi
58,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5.0,Mercedes-Benz
59,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5.0,Tata
60,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5.0,Hyundai
61,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5.0,Hyundai
62,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5.0,Maruti
63,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5.0,Ford
64,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti
65,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5.0,Volkswagen
66,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5.0,Honda
67,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,Maruti
68,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5.0,Volkswagen
69,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
70,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5.0,Maruti
71,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
72,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti
73,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,Toyota
